STATION,GPS,HEIGHT (m),HEIGHT UNCERTAINTY (m),RATE (mm/yr),RATE UNCERTAINTY (mm/yr),EPOCH,SOLUTION,START DATE,END DATE,DISTANCE
258,PDEL,49.825,0.025,-2.01,0.36,2020.0000,JPL14,2000-04-17,2023-03-23,1546
258,PDEL,49.824,0.026,-1.93,0.15,2020.0000,ULR7a,2000-04-17,2023-03-23,1546
303,TN01,36.904,0.005,-0.51,0.59,2020.0000,NGL14,2007-05-15,2023-03-23,0
303,TN01,36.905,0.004,-0.59,0.30,2020.0000,GT3,2007-05-15,2023-03-23,0
314,SWTG,49.545,0.005,-0.04,0.47,2020.0000,NGL14,2005-09-02,2022-09-28,11
333,HKQT,-8.265,0.009,0.20,0.28,2020.0000,ULR7a,2009-01-01,2023-03-23,1687
333,HKQT,-8.280,0.005,0.40,0.91,2020.0000,NGL14,2009-01-01,2023-03-23,1687
350,PMTG,38.868,0.006,0.13,0.30,2020.0000,GT3,2001-09-25,2016-10-09,9
350,PMTG,38.874,0.006,-0.60,0.50,2020.0000,NGL14,2001-09-25,2016-10-09,9
350,PMTG,38.892,0.007,0.54,0.31,2020.0000,ULR7a,2001-09-25,2016-10-09,9
351,N001,-38.475,0.003,,,2020.7939,NGL14,2019-07-01,2023-03-22,90
352,SPLT,35.432,0.008,0.45,0.68,2020.0000,NGL14,2004-05-05,2012-04-02,263
359,P206,29.453,0.004,3.05,1.09,2020.0000,NGL14,2003-06-18,2023-03-23,10
359,P206,29.513,0.005,6.22,0.30,2020.0000,GT3,2003-06-18,2023-03-23,10
361,ABER,43.068,0.007,2.11,0.30,2020.0000,GT3,1998-09-18,2022-10-23,173
361,ABER,42.973,0.006,0.79,0.45,2020.0000,NGL14,1998-09-18,2022-10-23,173
363,AOML,-33.472,0.019,0.39,0.88,2020.0000,JPL14,1997-11-20,2004-04-04,5105
363,MIA3,-33.509,0.020,-0.59,0.71,2020.0000,NGL14,1998-06-04,2009-06-18,4878
363,N300,-33.552,0.006,-1.18,2.27,2020.0000,NGL14,2019-07-01,2023-03-22,5105
363,AOML,-33.479,0.023,-0.12,1.12,2020.0000,ULR7a,1997-11-20,2004-04-04,5105
363,AOML,-33.475,0.028,0.21,1.14,2020.0000,NGL14,1997-11-20,2004-04-04,5105
363,MIA3,-33.501,0.015,-0.28,0.34,2020.0000,JPL14,1998-06-04,2009-06-18,4878
368,BRMU,-39.368,0.022,-1.16,0.30,2020.0000,GT3,1993-03-23,2020-09-27,739
